title,pubDate,guid,link,description,Predicted_Category
Two of UK's biggest clubs get in-house drug testing,2024-11-15 18:13,https://www.bbc.com/news/articles/c5yxv7e3jz6o#3,https://www.bbc.com/news/articles/c5yxv7e3jz6o,"The venues, in Manchester and London, invite charity The Loop to test drugs behind the scenes.",Health
The Papers: 'Pray' for Davina and '£280 hike to bills',2024-11-15 23:15,https://www.bbc.com/news/articles/c5yg5n35rzeo#3,https://www.bbc.com/news/articles/c5yg5n35rzeo,Saturday's front pages feature a row over freedom of speech and a reported rise in household bills.  ,Politics
"'You can do anything', says Belfast's Grammy nominated star",2024-11-15 20:16,https://www.bbc.com/news/articles/cqxwy7y0r9jo#3,https://www.bbc.com/news/articles/cqxwy7y0r9jo,"Northern Irish hip-hop artist Jordan Adetunji, says he's ""still processing"" his nomination.",Entertainment
'Blame Mike' - absurdity and appeal of Tyson v Paul ,2024-11-15 06:54,https://www.bbc.com/sport/boxing/articles/cg4le5vrwvzo#3,https://www.bbc.com/sport/boxing/articles/cg4le5vrwvzo,BBC Sport looks at the absurdity and appeal of 58-year-old Mike Tyson's fight with Jake Paul in Texas on Friday. ,Sports
X users jump to Bluesky - but what is it and who owns it?,2024-11-15 16:37,https://www.bbc.com/news/articles/c8dm0ljg4y6o#3,https://www.bbc.com/news/articles/c8dm0ljg4y6o,Bluesky is picking up one million new users every day at its current rate.,Technology
Welsh advert causes Celtic confusion in Glasgow,2024-11-15 15:43,https://www.bbc.com/news/articles/cn7mjj7lk21o#4,https://www.bbc.com/news/articles/cn7mjj7lk21o,A large billboard partly in Welsh appears in Glasgow advising customers what to do in a power cut.,World
More than 100 seek compensation over cruise virus,2024-11-15 14:58,https://www.bbc.com/news/articles/c4gpr5rwr1eo#4,https://www.bbc.com/news/articles/c4gpr5rwr1eo,More than 500 people became ill after an outbreak of norovirus on Ventura earlier this year.,Health
"North Korean troops in Ukraine ‘grave escalation’, Scholz tells Putin",2024-11-15 18:37,https://www.bbc.com/news/articles/c75lxypz7wqo#4,https://www.bbc.com/news/articles/c75lxypz7wqo,The German chancellor spoke to Russia's leader for the first time in nearly two years.,Politics
Elon Musk met Iran's UN ambassador in New York,2024-11-15 21:20,https://www.bbc.com/news/articles/c0mzk7e31pjo#4,https://www.bbc.com/news/articles/c0mzk7e31pjo,It is not clear if President-elect Trump or his national security team were aware of the meeting.,World
Netanyahu aide investigated over 7 October document changes,2024-11-15 15:15,https://www.bbc.com/news/articles/cgk18pdnxmmo#4,https://www.bbc.com/news/articles/cgk18pdnxmmo,Tzachi Braverman is accused of altering phone records to make the prime minister look more decisive.,Politics
Pro-Russia bill triggers protests in Georgia breakaway region,2024-11-15 18:08,https://www.bbc.com/news/articles/c206dyxkg01o#4,https://www.bbc.com/news/articles/c206dyxkg01o,Protesters stormed parliament and are calling for the president to resign over a Russian investment bill.,Politics
"Harry one of two claimants still suing Sun publisher, court told",2024-11-15 15:51,https://www.bbc.com/news/articles/cvglrv7q945o#4,https://www.bbc.com/news/articles/cvglrv7q945o,Prince Harry and former Labour deputy leader Tom Watson are the two remaining claimants suing News Group Newspapers.,Politics
The Week: Assisted dying and pension reform,2024-11-15 12:02,https://www.bbc.co.uk/sounds/play/p0k4s94b#6,https://www.bbc.co.uk/sounds/play/p0k4s94b,"Adam, Chris and friends look back on the political week.",Politics
How Scotland's human blur Doak left £77m man in daze,2024-11-15 23:05,https://www.bbc.com/sport/football/articles/cvg5nxx0p51o#8,https://www.bbc.com/sport/football/articles/cvg5nxx0p51o,"Ben Doak ensured Josko Gvardiol endured a taxing time as he shone in Scotland's Nations League win over Croatia, writes Tom English.",Sports
'Three or four games in one' as Ireland 'win ugly' ,2024-11-15 23:36,https://www.bbc.com/sport/rugby-union/articles/cdxy43rnx7wo#8,https://www.bbc.com/sport/rugby-union/articles/cdxy43rnx7wo,"Ireland head coach Andy Farrell says his side held their nerve ""and just about got there"" in their 22-19 win over Argentina. ",Sports
Boulter & Raducanu put GB into BJK Cup quarter-finals,2024-11-15 23:28,https://www.bbc.com/sport/tennis/articles/c4g20y7g2veo#8,https://www.bbc.com/sport/tennis/articles/c4g20y7g2veo,Emma Raducanu makes a winning return from injury before Katie Boulter secures Great Britain's place in the Billie Jean King Cup quarter-finals.,Sports
'Blame Mike' - absurdity and appeal of Tyson v Paul ,2024-11-15 06:54,https://www.bbc.com/sport/boxing/articles/cg4le5vrwvzo#8,https://www.bbc.com/sport/boxing/articles/cg4le5vrwvzo,BBC Sport looks at the absurdity and appeal of 58-year-old Mike Tyson's fight with Jake Paul in Texas on Friday. ,Sports
Amorim vows to restore Man Utd to where club 'belongs',2024-11-15 19:01,https://www.bbc.com/sport/football/articles/c5yr245jkq1o#8,https://www.bbc.com/sport/football/articles/c5yr245jkq1o,Manchester United's new head coach Ruben Amorim says he is confident of getting the club to compete for major trophies again.,Sports
Boulter powers GB into BJK Cup quarter-finals,2024-11-15 21:27,https://www.bbc.com/sport/tennis/videos/ce8yg78ml79o#8,https://www.bbc.com/sport/tennis/videos/ce8yg78ml79o,Katie Boulter cruises past Germany's Laura Siegemund with a straight-sets win to put Great Britain into the Billie Jean King Cup quarter-finals in Malaga.,Sports
"Floods, ceiling holes and loose sockets - life in a new-build",2024-11-15 22:48,https://www.bbc.com/news/articles/c624528pjr7o#9,https://www.bbc.com/news/articles/c624528pjr7o,"One man says his £250,000 home had kitchen sockets hanging out of walls, and holes in the ceiling.",Health
What should happen with the Rosebank and Jackdaw oil fields?,2024-11-15 23:03,https://www.bbc.com/news/articles/ce89er3ekn0o#9,https://www.bbc.com/news/articles/ce89er3ekn0o,Lawyers and campaigners have made their arguments before Lord Ericht in Edinburgh this week.,Lifestyle
Minister at NI-Belarus match despite government guidance,2024-11-15 23:14,https://www.bbc.com/news/articles/cn9xzdv2rgjo#9,https://www.bbc.com/news/articles/cn9xzdv2rgjo,The Department for Communities says matters relating to sanctions are for UEFA and the UK Government.,Sports
Ambulance 'failure' played role in motorbike death,2024-11-15 15:38,https://www.bbc.com/news/articles/c8ek5j3kldjo#9,https://www.bbc.com/news/articles/c8ek5j3kldjo,"Aaron Morris, 31, died following a crash on 1 July 2022 in Esh Winning, near Durham.",Health
Zelensky says war will 'end sooner' with Trump as president,2024-11-16 16:56,https://www.bbc.com/news/articles/c0mzgv4x901o#0,https://www.bbc.com/news/articles/c0mzgv4x901o,"The Ukrainian president also said his country ""must do everything"" to ensure the war ends next year. ",Politics
Farmers protest as Starmer defends Budget,2024-11-16 16:20,https://www.bbc.com/news/articles/c39n4mwyx12o#0,https://www.bbc.com/news/articles/c39n4mwyx12o,Protesters opposing changes to inheritance tax for farms gather outside the Welsh Labour conference.,Politics
"'Genuine impasse' at top of government about social care plan, insiders say",2024-11-16 13:12,https://www.bbc.com/news/articles/cm27yr56peyo#0,https://www.bbc.com/news/articles/cm27yr56peyo,"Multiple sources say the Treasury is deeply nervous about the cost of fixing social care, and that the PM is yet to decide how to proceed.",Politics
Melting glaciers leave homes teetering in valley of jagged mountains,2024-11-16 23:59,https://www.bbc.com/news/articles/cvgly8y1j12o#0,https://www.bbc.com/news/articles/cvgly8y1j12o,"Climate change is altering the landscape of Pakistan's mountain regions, and changing lives forever.",Lifestyle
Woman found dead in car boot named by police,2024-11-16 21:35,https://www.bbc.com/news/articles/c39nwjygjgro#0,https://www.bbc.com/news/articles/c39nwjygjgro,"Harshita Brella, 24, was found by officers after concerns were raised about her welfare, police say.",Health
Lord Blunkett injured in Tube platform gap fall,2024-11-16 23:46,https://www.bbc.com/news/articles/c3rxzj9pe3yo#0,https://www.bbc.com/news/articles/c3rxzj9pe3yo,"The Labour Peer, who is blind is urging Transport for London to do more for visually impaired people.",Politics
Watch: Georgia election chief doused with paint,2024-11-16 23:25,https://www.bbc.com/news/videos/cgej8505yjvo#0,https://www.bbc.com/news/videos/cgej8505yjvo,Official Giorgi Kalandarishvili was doused during the confirmation of a controversial poll.,Politics
Senators call for probe into Musk's alleged contact with Russia,2024-11-16 21:23,https://www.bbc.com/news/articles/cy0l3wl76gzo#0,https://www.bbc.com/news/articles/cy0l3wl76gzo,"Musk’s reported relations with Russia “pose serious questions” about US national security, the Democratic senators argue.",Politics
UK Pizza Hut to raise funds after Budget tax hikes,2024-11-16 20:31,https://www.bbc.com/news/articles/cdd0nzv6v1no#0,https://www.bbc.com/news/articles/cdd0nzv6v1no,"The money could come from a sale of part of the business, or new investment from existing shareholders.",Finance
Eight dead after stabbing at school in eastern China,2024-11-16 17:14,https://www.bbc.com/news/articles/cd6vz299qvgo#0,https://www.bbc.com/news/articles/cd6vz299qvgo,"A 21-year-old man has been arrested after a stabbing incident in the city of Wuxi, police say.",World
"Malcolm X’s family sues FBI, CIA and NYPD over his murder",2024-11-16 14:52,https://www.bbc.com/news/articles/c3rxzndzl7yo#0,https://www.bbc.com/news/articles/c3rxzndzl7yo,The family of the murdered black civil rights activist accuses the agencies of having a role in his death.,World
UK snow and ice warnings as weather turns colder,2024-11-16 10:51,https://www.bbc.com/weather/articles/c98dgl2rx8lo#0,https://www.bbc.com/weather/articles/c98dgl2rx8lo,Snow and ice warnings issued as the weather turns colder across the UK,Lifestyle
"United by loyalty, Trump's new team have competing agendas",2024-11-16 00:17,https://www.bbc.com/news/articles/cvg5nzr2p8eo#1,https://www.bbc.com/news/articles/cvg5nzr2p8eo,This week has revealed much about Trump's ambition but also hinted at tests and headaches that may lie ahead.,Politics
Karoline Leavitt to become youngest White House press secretary,2024-11-16 02:16,https://www.bbc.com/news/articles/cvgep2lexy4o#1,https://www.bbc.com/news/articles/cvgep2lexy4o,Trump has picked his 27-year-old campaign press secretary to stand behind the podium in the White House briefing room.,Politics
Fact-checking RFK Jr's views on health policy,2024-11-15 19:13,https://www.bbc.com/news/articles/c0mzk2y41zvo#1,https://www.bbc.com/news/articles/c0mzk2y41zvo,"Robert F Kennedy Jr has been nominated to be the next US health secretary, but some of his views are not backed by science.",Health
Watch: A look at Trump's new top team... in 74 seconds,2024-11-16 00:28,https://www.bbc.com/news/videos/cj3mvk7n53do#1,https://www.bbc.com/news/videos/cj3mvk7n53do,"Among the allies the president-elect has chosen to join his administration are contentious figures, including among fellow Republicans.",Politics
A sexually obscene phone call - and my two-year ordeal getting police to act,2024-11-16 00:05,https://www.bbc.com/news/articles/cvgwp4059xgo#3,https://www.bbc.com/news/articles/cvgwp4059xgo,BBC correspondent Lucy Manning describes having to fight at every moment to keep her case on track.,World
The Papers: '£1bn boost for buses' and Italy-style 'migrant deals',2024-11-16 23:03,https://www.bbc.com/news/articles/c93qj1jz7d2o#3,https://www.bbc.com/news/articles/c93qj1jz7d2o,Headlines include a boost to bus funding and Labour planning to pay millions to countries to stop illegal migration. ,Politics
'We've had more visitors in two days than 30 years',2024-11-16 02:14,https://www.bbc.com/news/articles/c789v6dg5pdo#3,https://www.bbc.com/news/articles/c789v6dg5pdo,"Residents in Shelf react to ""crazy"" interest after rare bird sighting puts village on national news.",Entertainment
Grandma with chunky sunglasses becomes unlikely fashion icon,2024-11-16 11:41,https://www.bbc.com/news/articles/cx2ylzj54yxo#3,https://www.bbc.com/news/articles/cx2ylzj54yxo,A Zambian woman in her 80s is adored for modelling in striking and playful fashion photographs.,Lifestyle
"Floods, ceiling holes and loose sockets - life in a new-build",2024-11-16 07:09,https://www.bbc.com/news/articles/c624528pjr7o#3,https://www.bbc.com/news/articles/c624528pjr7o,"One man says his £250,000 home had kitchen sockets hanging out of walls, and holes in the ceiling.",Health
'I get stopped for autographs - people think I'm Harry Styles',2024-11-16 02:45,https://www.bbc.com/news/articles/cz9x41gnkgqo#3,https://www.bbc.com/news/articles/cz9x41gnkgqo,Meet the men who have recently won competitions because they resemble celebrities like Harry Styles.,Entertainment
'We are dying every moment' - the Afghans risking their lives to reach UK,2024-11-16 01:01,https://www.bbc.com/news/articles/c2l9gg4yd75o#3,https://www.bbc.com/news/articles/c2l9gg4yd75o,Afghans and a people smuggler tell the BBC about the treacherous route they take to try to get out.,World
Tyson vs Paul fans 'furious' at Netflix problems,2024-11-16 19:31,https://www.bbc.com/news/articles/c8xpyg2lr28o#4,https://www.bbc.com/news/articles/c8xpyg2lr28o,The streaming giant's first foray into live boxing was beset with technical glitches.,Sports
Volcanoes once erupted on the far side of the moon,2024-11-16 10:06,https://www.bbc.com/news/articles/cgl454je0jgo#4,https://www.bbc.com/news/articles/cgl454je0jgo,"Volcanic rock, dating back billions of years, has been detected in the first samples collected from the mysterious ""dark side"".",World
Sixth typhoon in a month makes landfall in Philippines,2024-11-16 15:05,https://www.bbc.com/news/articles/cvg5j1k8w8qo#4,https://www.bbc.com/news/articles/cvg5j1k8w8qo,Super Typhoon Man-Yi is the latest storm forecast to potentially cause further life-threatening conditions. ,World
Four arrests after M62 crash during police pursuit,2024-11-16 21:57,https://www.bbc.com/news/articles/cj6kd12w2jwo#4,https://www.bbc.com/news/articles/cj6kd12w2jwo,A man is critically ill in hospital after the collision near Huddersfield on Saturday.,Health
US reports first case of emerging mpox strain,2024-11-16 20:54,https://www.bbc.com/news/articles/cy87gr4l02mo#4,https://www.bbc.com/news/articles/cy87gr4l02mo,"A person in California has tested positive for the emerging strain, which can cause a more serious illness.",Health
Amsterdam violence exposes tensions in society and spills over to politics,2024-11-16 00:34,https://www.bbc.com/news/articles/c30p1jmzjrzo#4,https://www.bbc.com/news/articles/c30p1jmzjrzo,There are concerns the unrest has damaged community relations and tensions have spilled over into politics too.,Politics
Molly-Mae Hague 'shocked' by Tommy Fury split,2024-11-16 14:28,https://www.bbc.com/news/articles/c1dp6r56653o#4,https://www.bbc.com/news/articles/c1dp6r56653o,"The pair, who met on Love Island and share a daughter, announced their split in August.",Entertainment
Newscast: Trump the Peacemaker?,2024-11-16 16:50,https://www.bbc.co.uk/sounds/play/p0k52gy7#6,https://www.bbc.co.uk/sounds/play/p0k52gy7,Zelensky says Trump could end the Ukraine war,Politics
Windies chase 219 for first win of T20 series against England,2024-11-17 00:09,https://www.bbc.com/sport/cricket/articles/ckgr8k3l8vko#8,https://www.bbc.com/sport/cricket/articles/ckgr8k3l8vko,West Indies successfully chase 219 against England for their first win of the five-match T20 series.  ,Sports
Errors and England's Groundhog Day defeats keep stacking up,2024-11-16 22:40,https://www.bbc.com/sport/rugby-union/articles/czj71pyr37do#8,https://www.bbc.com/sport/rugby-union/articles/czj71pyr37do,England's errors are undermining a team of ambition and promise and show little sign of shifting in a desperately disappointing autumn,Sports
Justice served in Wales draw against Turkey - Bellamy,2024-11-16 20:38,https://www.bbc.com/sport/football/articles/c89vkewxj7jo#8,https://www.bbc.com/sport/football/articles/c89vkewxj7jo,Wales boss Craig Bellamy says justice was served as Turkey missed a controversial late penalty in their goalless Nations League draw.,Sports
'Everything almost perfect' for Bompastor and Chelsea,2024-11-16 21:31,https://www.bbc.com/sport/football/articles/c87x5eqpvxpo#8,https://www.bbc.com/sport/football/articles/c87x5eqpvxpo,"If this is Chelsea in a new era under Sonia Bompastor, it seems they are heading in the same direction as their previous one - towards more success.",Sports
Last-second Jamaica goal seals thrilling tie with England,2024-11-16 18:07,https://www.bbc.com/sport/netball/videos/cpqdwnxnz9lo#8,https://www.bbc.com/sport/netball/videos/cpqdwnxnz9lo,England settle for a tie in their opening Horizon series match after Jamaica score a dramatic last-second goal at the AO Arena in Manchester. ,Sports
Belfast traders 'not worried' about traffic as Christmas market opens,2024-11-16 20:29,https://www.bbc.com/news/articles/c79z7el942zo#9,https://www.bbc.com/news/articles/c79z7el942zo,There have been concerns congestion in Belfast might deter shoppers and visitors in the run up to Christmas.,Lifestyle
'I want my womb removed but doctors say I'm too young',2024-11-16 21:38,https://www.bbc.com/news/articles/cy8nj15w5dzo#9,https://www.bbc.com/news/articles/cy8nj15w5dzo,"Emily, who is 26, says her requests for a hysterectomy are ignored because of her age.",Health
Four arrests after M62 crash during police pursuit,2024-11-16 21:57,https://www.bbc.com/news/articles/cj6kd12w2jwo#9,https://www.bbc.com/news/articles/cj6kd12w2jwo,A man is critically ill in hospital after the collision near Huddersfield on Saturday.,Health
SNP plans to cut staff at party headquarters ,2024-11-16 16:45,https://www.bbc.com/news/articles/cx2ngw81vrlo#9,https://www.bbc.com/news/articles/cx2ngw81vrlo,The SNP's ruling body has proposed cutting staff the number of staff at its headquarters from 26 to 16.,Politics
Private nursing homes 'used to secretly house women and babies',2024-11-16 06:44,https://www.bbc.com/news/articles/cdd0gnrdz9jo#9,https://www.bbc.com/news/articles/cdd0gnrdz9jo,The Truth Recovery Independent Panel finds evidence private nursing homes were used as 'a measure of secrecy'.,Health
Biden allows Ukraine to strike inside Russia with US-supplied missiles,2024-11-17 22:57,https://www.bbc.com/news/articles/c789x0y91vvo#0,https://www.bbc.com/news/articles/c789x0y91vvo,The move is a major change in US policy after months of requests from Kyiv.,Politics
"Police hunt husband of Harshita Brella, whose body was found in car boot",2024-11-17 19:12,https://www.bbc.com/news/articles/c9dln20ql4eo#0,https://www.bbc.com/news/articles/c9dln20ql4eo,"Northamptonshire Police says it is looking for Pankaj Lamba, who it believes has fled the country.",Lifestyle
Top Republican says Trump nominees are ‘disruptors’ ,2024-11-17 23:36,https://www.bbc.com/news/articles/cqj09jrw52zo#0,https://www.bbc.com/news/articles/cqj09jrw52zo,"Donald Trump Jr said some nominees are controversial and the president-elect has ""back-up plans""",Politics
Chris Mason: Farmers head to Westminster as inheritance tax anger grows,2024-11-17 23:04,https://www.bbc.com/news/articles/cwy4xv5dy5yo#0,https://www.bbc.com/news/articles/cwy4xv5dy5yo,Starmer's farmer-alarmer in the Budget could crystalise anger over ministers’ perceived ignorance about agricultural life.,Politics
Starmer to meet Chinese President Xi at G20 summit,2024-11-17 22:01,https://www.bbc.com/news/articles/c1dp6wgk72ro#0,https://www.bbc.com/news/articles/c1dp6wgk72ro,The first in-person meeting since 2018 will come as the PM prioritises shoring up support for Ukraine.,Politics
"Fixing social care is urgent, says minister, after claims of deadlock",2024-11-17 13:15,https://www.bbc.com/news/articles/c2074jm21g2o#0,https://www.bbc.com/news/articles/c2074jm21g2o,"Source have told the BBC there is a ""genuine impasse"" at the top of government over how to reform the system.",Politics
Robbie Williams hits back at ex-Take That manager,2024-11-17 15:56,https://www.bbc.com/news/articles/c154x815qz9o#0,https://www.bbc.com/news/articles/c154x815qz9o,The singer took issue with the assertions made by his former manager in a new BBC documentary.,World
Hezbollah media chief killed in Israeli strike in Beirut,2024-11-17 21:51,https://www.bbc.com/news/articles/cx2ndzpwllxo#0,https://www.bbc.com/news/articles/cx2ndzpwllxo,"The head of Hezbollah's media office, Mohamad Afif, was one of the group's few remaining public faces.",World
EastEnders star says she had to use food bank after leaving show,2024-11-17 13:45,https://www.bbc.com/news/articles/cdj3m4gw09mo#0,https://www.bbc.com/news/articles/cdj3m4gw09mo,"Cheryl Fergison says she felt ashamed when she ""didn’t have any money to do a weekly shop"".",Health
Australian radio host arrested over sex abuse claims,2024-11-17 22:46,https://www.bbc.com/news/articles/cx27v4v1l5wo#0,https://www.bbc.com/news/articles/cx27v4v1l5wo,"Veteran broadcaster and former Wallabies coach Alan Jones was arrested on Monday, local media report.",Sports
"Clergy thinking of replacing Welby need 'reality check', says bishop",2024-11-17 12:50,https://www.bbc.com/news/articles/cwy582kl2n4o#0,https://www.bbc.com/news/articles/cwy582kl2n4o,"The Bishop of Gloucester does not want the ""very, very difficult"" Archbishop of Canterbury job.",Politics
Snow and ice could bring travel disruption as Met Office issues yellow warning,2024-11-17 15:53,https://www.bbc.com/weather/articles/c98dgl2rx8lo#0,https://www.bbc.com/weather/articles/c98dgl2rx8lo,Snow and ice warnings issued as the weather turns colder across the UK this week ,Health
Undocumented migrants hope Trump mass deportations only 'for criminals',2024-11-17 06:00,https://www.bbc.com/news/articles/c79zxjj0j55o#1,https://www.bbc.com/news/articles/c79zxjj0j55o,"While many are scared, some dismiss the dangers of mass deportations under Donald Trump. ",Politics
Who has joined Trump's team so far?,2024-11-16 21:49,https://www.bbc.com/news/articles/cx24gze60yzo#1,https://www.bbc.com/news/articles/cx24gze60yzo,"His secretary of state, attorney general and UN ambassador have been picked - but there are plenty more posts to fill.",Politics
'I want my womb removed but doctors say I'm too young',2024-11-17 07:14,https://www.bbc.com/news/articles/cy8nj15w5dzo#3,https://www.bbc.com/news/articles/cy8nj15w5dzo,"Emily, who is 26, says her requests for a hysterectomy are ignored because of her age.",Health
The Papers: US 'lifts ban' on strikes in Russia and royal 'raid',2024-11-17 23:53,https://www.bbc.com/news/articles/cje0432k5lxo#3,https://www.bbc.com/news/articles/cje0432k5lxo,Monday's papers feature Joe Biden lifting the ban on Ukraine using US arms to strike Russia and a burglary on a royal estate. ,Politics
How to see Leonid meteor shower as it peaks on Sunday night,2024-11-17 10:57,https://www.bbc.com/weather/articles/cjw018n0520o#3,https://www.bbc.com/weather/articles/cjw018n0520o,The Leonid meteor shower will peak late on Sunday night into early Monday but will the weather allow for good viewing?,World
"'Sixth great extinction is happening', conservationist Jane Goodall warns",2024-11-17 00:20,https://www.bbc.com/news/articles/c93qvqx5y01o#3,https://www.bbc.com/news/articles/c93qvqx5y01o,Conservationist Jane Goodall on the urgent need to turn the tide on climate change and nature loss. ,World
Final phase for mass rape trial that has horrified France,2024-11-17 00:51,https://www.bbc.com/news/articles/c30p6ey32ydo#3,https://www.bbc.com/news/articles/c30p6ey32ydo,"Fifty-one men are on trial in a case that focuses on a formerly married couple, Dominique and Gisèle Pelicot.",World
Russia's soldiers bringing wartime violence back home,2024-11-17 00:03,https://www.bbc.com/news/articles/c1e7vl01gngo#3,https://www.bbc.com/news/articles/c1e7vl01gngo,Many of the attackers have previous criminal convictions and were released from prison purely to fight.,World
Tesco row shows Sundays are still sacred on Hebridean islands,2024-11-17 12:09,https://www.bbc.com/news/articles/czxrylv2xj1o#3,https://www.bbc.com/news/articles/czxrylv2xj1o,The first Sunday opening of a Tesco has sparked a row and put a part of island culture under the spotlight.,Lifestyle
Charli XCX: My parents drove me to raves aged 15,2024-11-17 11:35,https://www.bbc.com/news/articles/c079jyyvn32o#4,https://www.bbc.com/news/articles/c079jyyvn32o,"The pop star inspired a cultural phenomenon this summer with many adopting the ""brat"" way of life.",Lifestyle
'London-style' bus services promised for England with £1bn boost,2024-11-17 12:57,https://www.bbc.com/news/articles/c86qy500545o#4,https://www.bbc.com/news/articles/c86qy500545o,The Department for Transport says funding will be allocated based on levels of deprivation and population. ,World
Police officers 'punch bags' in 'epidemic' of violent attacks,2024-11-17 07:37,https://www.bbc.com/news/articles/c4grg0m085po#4,https://www.bbc.com/news/articles/c4grg0m085po,"There has been a surge in violence against the police, a BBC investigation has found.",World
Brazil first lady uses expletive against Elon Musk at G20 event,2024-11-17 16:03,https://www.bbc.com/news/articles/cwy1693xwlzo#4,https://www.bbc.com/news/articles/cwy1693xwlzo,Janja Lula da Silva joked that she was not afraid of the owner of social media platform X.,Technology
EV targets 'will not be weakened' despite pressure,2024-11-17 14:56,https://www.bbc.com/news/articles/cz6je5w7n3yo#4,https://www.bbc.com/news/articles/cz6je5w7n3yo,"Transport Secretary Louise Haigh says the rules will remain, but car firms warn they are too strict.",World
Miss Nigeria's pride after defying trolls to challenge for Miss Universe,2024-11-17 12:26,https://www.bbc.com/news/articles/c0j85yy5yg2o#4,https://www.bbc.com/news/articles/c0j85yy5yg2o,"Chidimma Adetshina faced xenophobic abuse and trolling when she competed for Miss South Africa, where she was born.",Lifestyle
Jeremy Allen White lookalike crowned in Chicago,2024-11-17 15:37,https://www.bbc.com/news/articles/ckgr8ldgm1zo#4,https://www.bbc.com/news/articles/ckgr8ldgm1zo,Dozens took part in a lookalike competition for the actor from critically-acclaimed show The Bear.,Entertainment
Newscast,2024-11-17 13:29,https://www.bbc.co.uk/sounds/play/p0k55t64#6,https://www.bbc.co.uk/sounds/play/p0k55t64,Russia targets energy plants,World
Carsley's mission accomplished as foundations laid for Tuchel,2024-11-17 21:21,https://www.bbc.com/sport/football/articles/cjw083n053qo#8,https://www.bbc.com/sport/football/articles/cjw083n053qo,England interim manager Lee Carsley can reflect on a mission accomplished as he lays the foundations for incoming head coach Thomas Tuchel.,Sports
